Rabat,24.04,83.0,2025-08-08T18:41:54.319207
Tangier,24.64,78.0,2025-08-08T18:41:54.462328
Agadir,35.25,33.0,2025-08-08T18:41:54.613887
Marrakesh,40.04,17.0,2025-08-08T18:41:54.756048
