Rabat,24.04,83.0,2025-08-08T18:48:34.818679
Tangier,24.64,78.0,2025-08-08T18:48:34.964819
Agadir,35.25,33.0,2025-08-08T18:48:35.141693
Marrakesh,39.04,19.0,2025-08-08T18:48:35.289716
