Rabat,24.04,83.0,2025-08-08T18:45:42.919557
Tangier,24.64,78.0,2025-08-08T18:45:43.072047
Agadir,35.25,33.0,2025-08-08T18:45:43.266601
Marrakesh,40.04,17.0,2025-08-08T18:45:43.412675
