Rabat,24.04,83.0,2025-08-08T18:39:56.168044
Tangier,24.64,78.0,2025-08-08T18:39:56.306968
Agadir,35.25,33.0,2025-08-08T18:39:56.455946
Marrakesh,40.04,17.0,2025-08-08T18:39:56.601611
