Rabat,24.04,83.0,2025-08-08T18:43:44.552258
Tangier,24.64,78.0,2025-08-08T18:43:44.711398
Agadir,35.25,33.0,2025-08-08T18:43:45.010158
Marrakesh,40.04,17.0,2025-08-08T18:43:45.168918
