Rabat,24.04,83.0,2025-08-08T18:52:30.240791
Tangier,24.64,78.0,2025-08-08T18:52:30.379055
Agadir,35.25,33.0,2025-08-08T18:52:30.515901
Marrakesh,39.04,19.0,2025-08-08T18:52:30.651218
